,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,14536962,56785,NIFTY25JUNFUT,NIFTY,0.0,2025-06-26,0.0,0.1,75,FUT,NFO-FUT,NFO
1,13623298,53216,NIFTY25JULFUT,NIFTY,0.0,2025-07-31,0.0,0.1,75,FUT,NFO-FUT,NFO
2,16410370,64103,NIFTY25AUGFUT,NIFTY,0.0,2025-08-28,0.0,0.1,75,FUT,NFO-FUT,NFO
3,14536194,56782,BANKNIFTY25JUNFUT,BANKNIFTY,0.0,2025-06-26,0.0,0.2,30,FUT,NFO-FUT,NFO
4,13622530,53213,BANKNIFTY25JULFUT,BANKNIFTY,0.0,2025-07-31,0.0,0.2,35,FUT,NFO-FUT,NFO
5,16409602,64100,BANKNIFTY25AUGFUT,BANKNIFTY,0.0,2025-08-28,0.0,0.2,35,FUT,NFO-FUT,NFO
6,14537474,56787,AARTIIND25JUNFUT,AARTIIND,0.0,2025-06-26,0.0,0.05,1000,FUT,NFO-FUT,NFO
7,13623810,53218,AARTIIND25JULFUT,AARTIIND,0.0,2025-07-31,0.0,0.05,1325,FUT,NFO-FUT,NFO
8,14537730,56788,ABB25JUNFUT,ABB,0.0,2025-06-26,0.0,0.5,125,FUT,NFO-FUT,NFO
9,13624066,53219,ABB25JULFUT,ABB,0.0,2025-07-31,0.0,0.5,125,FUT,NFO-FUT,NFO
10,16410882,64105,ABB25AUGFUT,ABB,0.0,2025-08-28,0.0,0.5,125,FUT,NFO-FUT,NFO
11,14537986,56789,ABCAPITAL25JUNFUT,ABCAPITAL,0.0,2025-06-26,0.0,0.01,2700,FUT,NFO-FUT,NFO
12,13624322,53220,ABCAPITAL25JULFUT,ABCAPITAL,0.0,2025-07-31,0.0,0.01,3100,FUT,NFO-FUT,NFO
13,16411138,64106,ABCAPITAL25AUGFUT,ABCAPITAL,0.0,2025-08-28,0.0,0.01,3100,FUT,NFO-FUT,NFO
